class_name,class_uid
pullover,2
top,0
dress,3
sandal,5
pullover,2
pullover,2
dress,3
dress,3
dress,3
sneaker,7
sneaker,7
trouser,1
sandal,5
sandal,5
dress,3
pullover,2
sneaker,7
dress,3
pullover,2
sandal,5
sneaker,7
sneaker,7
pullover,2
sandal,5
pullover,2
pullover,2
dress,3
sandal,5
sandal,5
dress,3
sandal,5
sandal,5
pullover,2
dress,3
dress,3
pullover,2
sandal,5
pullover,2
pullover,2
sneaker,7
sandal,5
sneaker,7
dress,3
sandal,5
dress,3
sandal,5
sandal,5
dress,3
sandal,5
sneaker,7
sneaker,7
dress,3
dress,3
pullover,2
dress,3
dress,3
sandal,5
sneaker,7
sneaker,7
dress,3
sneaker,7
pullover,2
dress,3
dress,3
dress,3
sandal,5
dress,3
sneaker,7
pullover,2
sneaker,7
sandal,5
sneaker,7
sneaker,7
sneaker,7
pullover,2
dress,3
sneaker,7
pullover,2
sandal,5
dress,3
pullover,2
sneaker,7
sneaker,7
sandal,5
sneaker,7
sneaker,7
dress,3
sneaker,7
sandal,5
dress,3
sneaker,7
pullover,2
sneaker,7
dress,3
dress,3
dress,3
pullover,2
pullover,2
pullover,2
pullover,2
sneaker,7
sandal,5
sneaker,7
sneaker,7
sneaker,7
dress,3
sandal,5
dress,3
dress,3
dress,3
sneaker,7
pullover,2
sneaker,7
pullover,2
dress,3
sandal,5
sandal,5
sneaker,7
pullover,2
dress,3
sandal,5
sandal,5
dress,3
dress,3
pullover,2
sneaker,7
dress,3
dress,3
sneaker,7
sneaker,7
dress,3
sandal,5
pullover,2
pullover,2
sneaker,7
pullover,2
dress,3
pullover,2
dress,3
pullover,2
dress,3
sandal,5
sneaker,7
pullover,2
pullover,2
sneaker,7
sneaker,7
dress,3
pullover,2
pullover,2
sandal,5
dress,3
sandal,5
dress,3
sandal,5
pullover,2
sneaker,7
sandal,5
dress,3
sandal,5
sandal,5
pullover,2
sneaker,7
dress,3
sneaker,7
dress,3
sandal,5
pullover,2
sneaker,7
dress,3
pullover,2
dress,3
pullover,2
dress,3
sandal,5
dress,3
dress,3
dress,3
sneaker,7
sneaker,7
pullover,2
sandal,5
pullover,2
pullover,2
dress,3
sandal,5
pullover,2
sneaker,7
sneaker,7
sandal,5
dress,3
dress,3
sneaker,7
dress,3
sneaker,7
sneaker,7
dress,3
sneaker,7
dress,3
dress,3
sandal,5
dress,3
dress,3
sneaker,7
dress,3
dress,3
pullover,2
sandal,5
dress,3
dress,3
pullover,2
sneaker,7
sneaker,7
sandal,5
sandal,5
dress,3
pullover,2
sandal,5
pullover,2
pullover,2
pullover,2
sneaker,7
sandal,5
pullover,2
dress,3
dress,3
sneaker,7
sneaker,7
sneaker,7
dress,3
dress,3
pullover,2
sneaker,7
sneaker,7
sandal,5
dress,3
sandal,5
pullover,2
dress,3
pullover,2
dress,3
sandal,5
dress,3
pullover,2
sneaker,7
sneaker,7
pullover,2
sneaker,7
sandal,5
dress,3
dress,3
sneaker,7
dress,3
sneaker,7
sandal,5
dress,3
pullover,2
sneaker,7
sandal,5
sneaker,7
pullover,2
sneaker,7
pullover,2
sneaker,7
sandal,5
pullover,2
pullover,2
sneaker,7
pullover,2
pullover,2
sneaker,7
pullover,2
dress,3
sandal,5
pullover,2
dress,3
dress,3
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sneaker,7
pullover,2
pullover,2
sandal,5
dress,3
sneaker,7
dress,3
pullover,2
sandal,5
pullover,2
dress,3
sneaker,7
sneaker,7
pullover,2
pullover,2
sandal,5
sandal,5
sandal,5
dress,3
pullover,2
sandal,5
dress,3
dress,3
sneaker,7
pullover,2
sneaker,7
pullover,2
dress,3
dress,3
pullover,2
dress,3
sneaker,7
sandal,5
dress,3
sneaker,7
sneaker,7
pullover,2
dress,3
sneaker,7
dress,3
dress,3
dress,3
pullover,2
sneaker,7
sneaker,7
dress,3
sandal,5
sneaker,7
pullover,2
sandal,5
sneaker,7
pullover,2
sneaker,7
pullover,2
dress,3
pullover,2
sneaker,7
dress,3
dress,3
sandal,5
sneaker,7
dress,3
dress,3
pullover,2
sneaker,7
pullover,2
sneaker,7
pullover,2
dress,3
sneaker,7
sandal,5
pullover,2
sandal,5
sneaker,7
sandal,5
sandal,5
pullover,2
sandal,5
sneaker,7
dress,3
sandal,5
sneaker,7
pullover,2
dress,3
sandal,5
pullover,2
sandal,5
pullover,2
sneaker,7
sandal,5
dress,3
sneaker,7
sneaker,7
pullover,2
pullover,2
pullover,2
sandal,5
sandal,5
sandal,5
pullover,2
pullover,2
pullover,2
dress,3
sandal,5
sandal,5
dress,3
pullover,2
dress,3
dress,3
pullover,2
sneaker,7
sandal,5
sneaker,7
pullover,2
sneaker,7
dress,3
dress,3
sneaker,7
pullover,2
sneaker,7
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
dress,3
dress,3
sandal,5
dress,3
dress,3
sneaker,7
sandal,5
sneaker,7
sneaker,7
dress,3
sandal,5
sneaker,7
sneaker,7
sandal,5
dress,3
sandal,5
dress,3
sneaker,7
sandal,5
sandal,5
dress,3
sneaker,7
dress,3
sandal,5
sneaker,7
sandal,5
dress,3
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
dress,3
sneaker,7
dress,3
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
dress,3
dress,3
dress,3
sandal,5
dress,3
sandal,5
sandal,5
dress,3
sneaker,7
dress,3
sneaker,7
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
dress,3
sneaker,7
sandal,5
dress,3
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sandal,5
dress,3
sandal,5
dress,3
dress,3
sneaker,7
sneaker,7
sandal,5
dress,3
sandal,5
sneaker,7
dress,3
sneaker,7
sandal,5
sandal,5
dress,3
sandal,5
dress,3
sneaker,7
dress,3
sneaker,7
sneaker,7
sneaker,7
sandal,5
dress,3
sandal,5
sneaker,7
dress,3
dress,3
dress,3
dress,3
sandal,5
sandal,5
dress,3
dress,3
dress,3
dress,3
dress,3
dress,3
dress,3
dress,3
dress,3
sandal,5
dress,3
sneaker,7
sandal,5
dress,3
dress,3
sneaker,7
sneaker,7
dress,3
sandal,5
sneaker,7
dress,3
dress,3
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
sneaker,7
dress,3
sandal,5
sneaker,7
dress,3
sandal,5
sneaker,7
sneaker,7
sandal,5
dress,3
sandal,5
dress,3
sneaker,7
dress,3
sandal,5
dress,3
sandal,5
sandal,5
dress,3
dress,3
sandal,5
dress,3
sneaker,7
sandal,5
sneaker,7
dress,3
sandal,5
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
dress,3
sandal,5
sandal,5
sandal,5
dress,3
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
dress,3
dress,3
dress,3
dress,3
dress,3
sneaker,7
dress,3
sandal,5
sandal,5
dress,3
dress,3
sandal,5
dress,3
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
sneaker,7
sandal,5
dress,3
sandal,5
sandal,5
dress,3
sandal,5
sneaker,7
dress,3
dress,3
sandal,5
sandal,5
dress,3
sneaker,7
dress,3
sneaker,7
dress,3
sandal,5
sneaker,7
sneaker,7
sneaker,7
dress,3
sandal,5
dress,3
dress,3
sneaker,7
dress,3
sandal,5
dress,3
sneaker,7
sandal,5
sneaker,7
sneaker,7
dress,3
sneaker,7
dress,3
sneaker,7
sandal,5
dress,3
sandal,5
sandal,5
sneaker,7
sneaker,7
sneaker,7
sandal,5
sneaker,7
dress,3
sneaker,7
sneaker,7
sandal,5
dress,3
sneaker,7
dress,3
dress,3
sandal,5
sandal,5
sneaker,7
dress,3
dress,3
sneaker,7
sneaker,7
dress,3
sneaker,7
dress,3
sneaker,7
dress,3
dress,3
dress,3
sneaker,7
sandal,5
dress,3
dress,3
sneaker,7
sneaker,7
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
sneaker,7
sandal,5
dress,3
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sneaker,7
sneaker,7
dress,3
sneaker,7
sneaker,7
dress,3
dress,3
dress,3
sandal,5
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
dress,3
sneaker,7
sandal,5
sandal,5
dress,3
sandal,5
sneaker,7
dress,3
sneaker,7
dress,3
sneaker,7
dress,3
sneaker,7
sandal,5
sneaker,7
dress,3
dress,3
sneaker,7
sandal,5
sneaker,7
dress,3
sneaker,7
dress,3
dress,3
sneaker,7
sneaker,7
sneaker,7
sneaker,7
dress,3
dress,3
sandal,5
sandal,5
sandal,5
sneaker,7
dress,3
sneaker,7
sandal,5
sandal,5
dress,3
dress,3
sandal,5
sandal,5
sneaker,7
dress,3
sandal,5
sneaker,7
dress,3
sandal,5
dress,3
sneaker,7
sneaker,7
sneaker,7
dress,3
sandal,5
sneaker,7
dress,3
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
dress,3
sneaker,7
sneaker,7
dress,3
sneaker,7
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
sneaker,7
sneaker,7
sneaker,7
sneaker,7
dress,3
sandal,5
sneaker,7
sneaker,7
dress,3
sandal,5
sandal,5
sandal,5
dress,3
dress,3
sneaker,7
sneaker,7
sneaker,7
dress,3
dress,3
sneaker,7
dress,3
sandal,5
dress,3
sandal,5
sandal,5
dress,3
sandal,5
dress,3
sandal,5
sandal,5
sneaker,7
sneaker,7
dress,3
sandal,5
sneaker,7
dress,3
sandal,5
sneaker,7
dress,3
sneaker,7
sneaker,7
sandal,5
sneaker,7
sneaker,7
dress,3
dress,3
sneaker,7
sneaker,7
sandal,5
sneaker,7
dress,3
dress,3
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
dress,3
dress,3
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
dress,3
sneaker,7
sneaker,7
dress,3
dress,3
sneaker,7
dress,3
dress,3
dress,3
dress,3
sneaker,7
dress,3
sneaker,7
sneaker,7
sneaker,7
dress,3
sneaker,7
sneaker,7
dress,3
sneaker,7
dress,3
dress,3
dress,3
sandal,5
sneaker,7
sandal,5
sneaker,7
sandal,5
dress,3
sandal,5
sneaker,7
sneaker,7
sneaker,7
dress,3
sandal,5
sandal,5
sneaker,7
dress,3
dress,3
dress,3
sandal,5
dress,3
sandal,5
dress,3
sneaker,7
dress,3
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
dress,3
sneaker,7
sneaker,7
dress,3
sneaker,7
sandal,5
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
dress,3
dress,3
sandal,5
dress,3
sneaker,7
dress,3
sandal,5
dress,3
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
dress,3
sandal,5
sneaker,7
sandal,5
sneaker,7
dress,3
dress,3
sneaker,7
sneaker,7
dress,3
dress,3
dress,3
sneaker,7
sandal,5
sneaker,7
sandal,5
sneaker,7
sandal,5
dress,3
sandal,5
sandal,5
sneaker,7
sandal,5
sneaker,7
dress,3
sandal,5
sandal,5
dress,3
sneaker,7
dress,3
sneaker,7
sneaker,7
sneaker,7
sandal,5
sandal,5
dress,3
sneaker,7
dress,3
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
dress,3
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sandal,5
sandal,5
dress,3
dress,3
dress,3
sneaker,7
sneaker,7
sandal,5
sneaker,7
dress,3
sandal,5
sneaker,7
sneaker,7
dress,3
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
dress,3
sandal,5
sandal,5
dress,3
sandal,5
sneaker,7
dress,3
sneaker,7
dress,3
dress,3
sandal,5
dress,3
dress,3
dress,3
dress,3
sneaker,7
sandal,5
dress,3
sandal,5
sneaker,7
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
dress,3
sneaker,7
sneaker,7
dress,3
sandal,5
dress,3
sneaker,7
sneaker,7
dress,3
sandal,5
sneaker,7
dress,3
sandal,5
sandal,5
dress,3
sneaker,7
sandal,5
dress,3
dress,3
sneaker,7
sandal,5
sandal,5
sneaker,7
dress,3
sneaker,7
dress,3
sneaker,7
dress,3
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sneaker,7
sneaker,7
sandal,5
dress,3
sneaker,7
dress,3
sneaker,7
dress,3
dress,3
sandal,5
sneaker,7
dress,3
sandal,5
dress,3
dress,3
sandal,5
dress,3
sneaker,7
sandal,5
sneaker,7
dress,3
sneaker,7
sneaker,7
sneaker,7
dress,3
dress,3
sandal,5
sneaker,7
sneaker,7
sandal,5
dress,3
sandal,5
sandal,5
sneaker,7
dress,3
sneaker,7
sneaker,7
sneaker,7
sandal,5
sandal,5
dress,3
dress,3
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
dress,3
dress,3
dress,3
dress,3
sneaker,7
sneaker,7
sandal,5
sandal,5
dress,3
sneaker,7
sandal,5
sneaker,7
sandal,5
sneaker,7
dress,3
dress,3
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
dress,3
sandal,5
sandal,5
sandal,5
dress,3
sneaker,7
dress,3
sandal,5
sandal,5
sandal,5
dress,3
sneaker,7
sandal,5
dress,3
sandal,5
sandal,5
sandal,5
dress,3
dress,3
sneaker,7
dress,3
sneaker,7
dress,3
sandal,5
dress,3
sandal,5
sneaker,7
sandal,5
sneaker,7
dress,3
sneaker,7
sneaker,7
dress,3
dress,3
sneaker,7
sneaker,7
dress,3
sandal,5
dress,3
sneaker,7
sandal,5
sandal,5
dress,3
sneaker,7
dress,3
dress,3
sneaker,7
dress,3
sneaker,7
sneaker,7
sneaker,7
sandal,5
dress,3
sandal,5
sneaker,7
sneaker,7
dress,3
sandal,5
dress,3
dress,3
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sandal,5
dress,3
sneaker,7
sneaker,7
sandal,5
dress,3
dress,3
sandal,5
dress,3
dress,3
sandal,5
sandal,5
sandal,5
sneaker,7
sneaker,7
dress,3
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
dress,3
sneaker,7
sneaker,7
sandal,5
dress,3
sandal,5
sandal,5
dress,3
sneaker,7
dress,3
sneaker,7
dress,3
dress,3
sandal,5
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
dress,3
sandal,5
dress,3
sandal,5
sneaker,7
dress,3
dress,3
dress,3
sandal,5
sandal,5
dress,3
sandal,5
sneaker,7
dress,3
sandal,5
dress,3
dress,3
sandal,5
dress,3
sandal,5
dress,3
dress,3
sandal,5
sneaker,7
dress,3
sandal,5
dress,3
dress,3
dress,3
sneaker,7
dress,3
dress,3
sneaker,7
sandal,5
dress,3
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sneaker,7
sandal,5
sneaker,7
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sneaker,7
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sneaker,7
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
sneaker,7
sneaker,7
sneaker,7
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
sandal,5
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
sneaker,7
sneaker,7
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
sneaker,7
sneaker,7
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
sneaker,7
sneaker,7
sneaker,7
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
sneaker,7
sandal,5
sneaker,7
sandal,5
sneaker,7
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sneaker,7
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sneaker,7
sandal,5
sneaker,7
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sandal,5
sneaker,7
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sandal,5
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sneaker,7
sneaker,7
sneaker,7
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sneaker,7
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sneaker,7
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sandal,5
sneaker,7
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sneaker,7
sneaker,7
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sneaker,7
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sneaker,7
sandal,5
sneaker,7
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sandal,5
sneaker,7
sandal,5
sneaker,7
sneaker,7
sneaker,7
sandal,5
sandal,5
sandal,5
sneaker,7
sneaker,7
sandal,5
sneaker,7
sneaker,7
sandal,5
sneaker,7
sandal,5
sneaker,7
sandal,5
sneaker,7
sandal,5
sneaker,7
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
sandal,5
